name,category,status,expected_type,default_value,effect_role,remarks,target_parameters,source_paths,milestones,source_inventory
MPCD_CUDA_RESAMPLING_SOLID_ADJACENT_HALO_CELLS_0307,CUDA resampling post-SRC — compléments 0295–0319,présent état 36abd23; inventorié 0490p (0307),entier,1,Variable runtime interne contrôlant le chemin nommé dans le backend CUDA.,"À passer dans l’environnement du shell, pas dans params.kv. Ligne ajoutée par comparaison exhaustive des appels getenv du code courant avec l’inventaire 0436b.",,src/cuda_resampling_population_guard_0297.cu,,delta source 0437–0490p / branche surf commit 36abd23
MPCD_CUDA_RESAMPLING_SOLID_ADJACENT_SPLIT_MODE_0307,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0307,"entier/enum 0 normal, 1 cautious, 2 off",0 nominal,Contrôle le split dans les cellules solid-adjacent.,Le mode normal avec split-safety suffit pour le nominal; cautious/off restent diagnostiques.,,src/cuda_classic_src_io_resident_0263.cu,,src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
MPCD_CUDA_RESAMPLING_SPARSE_DEVICE_CARRIER_GATE_0461,CUDA resampling résident — pipeline 0437–0484,présent état 36abd23; inventorié 0490p (0461),booléen/env truthy,false/off,Active la porte de validation du carrier device sparse.,"À passer dans l’environnement du shell, pas dans params.kv. Ligne ajoutée par comparaison exhaustive des appels getenv du code courant avec l’inventaire 0436b.",,src/cuda_resampling_pipeline_shadow_0445.cu,,delta source 0437–0490p / branche surf commit 36abd23
MPCD_CUDA_RESAMPLING_SPLIT_DONOR_MIN_MASS_0307,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0307; nominal 0308,réel,0.5,Masse minimale du donneur pour autoriser un split.,Empêche les splits issus de particules trop légères.,,src/cuda_classic_src_io_resident_0263.cu,,src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
MPCD_CUDA_RESAMPLING_SPLIT_NEW_PARTICLE_MIN_MASS_0307,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0307; nominal 0308,réel,0.25,Masse minimale de la particule créée par split et du donneur après split.,Valeur validée pour couper les outliers de masse/vitesse.,,src/cuda_classic_src_io_resident_0263.cu,,src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
MPCD_CUDA_RESAMPLING_SPLIT_PREFER_MAX_MASS_DONOR_0307,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0307; nominal 0308,booléen/env truthy,true,Choisit préférentiellement le donneur le plus massif pour un split.,Réduit le risque de resplit de particules déjà allégées.,,src/cuda_classic_src_io_resident_0263.cu,,src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
MPCD_CUDA_RESAMPLING_SPLIT_SAFETY_0307,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0307; nominal 0308,booléen/env truthy,true dans scripts resampling nominal 0308+,Active la prévention des cascades de split créant des particules de masse dégénérée.,Doit rester activé avec le resampling CUDA nominal.,,src/cuda_classic_src_io_resident_0263.cu,,src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
MPCD_CUDA_RESAMPLING_SUCCESS_CSV_0484,CUDA resampling résident — pipeline 0437–0484,présent état 36abd23; inventorié 0490p (0484),booléen/env truthy,hérite de DIAG_CSV_0484,Contrôle l’écriture des lignes de succès dans les CSV 0484.,"À passer dans l’environnement du shell, pas dans params.kv. Ligne ajoutée par comparaison exhaustive des appels getenv du code courant avec l’inventaire 0436b.",,src/cuda_resampling_pipeline_shadow_0445.cu,,delta source 0437–0490p / branche surf commit 36abd23
MPCD_CUDA_RESAMPLING_SUPPORT_SURVEY_0295,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,booléen/env truthy,false/off sauf scripts 0295+,Active le survey CUDA post-SRC non-mutant du support particulaire.,Écrit cuda_resampling_support_survey_0295.csv; ne modifie pas l’état.,,,,src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0303.csv | src_mpcd_cuda_resampling_env_flags_delta_0314.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
MPCD_CUDA_RESAMPLING_SUPPORT_SURVEY_0295_EVERY,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,entier,10 ou cadence script,Cadence du survey 0295.,0 ou absent désactive selon script; utilisé après SRC sur grille physique.,,,,src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0303.csv | src_mpcd_cuda_resampling_env_flags_delta_0314.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
MPCD_CUDA_RESAMPLING_SUPPORT_SURVEY_0295_MODE,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,string,full,"Mode diagnostic: csv_only, sync_only, alloc_only, deposit_only, full.",Utilisé pour bisection VK 0295; pas nécessaire en production.,,,,src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0303.csv | src_mpcd_cuda_resampling_env_flags_delta_0314.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
MPCD_CUDA_RESAMPLING_SUPPORT_SURVEY_0295_THREADS,CUDA resampling post-SRC — compléments 0295–0319,présent état 36abd23; inventorié 0490p (0295),entier,256,Règle le nombre de threads CUDA par bloc du noyau associé.,"À passer dans l’environnement du shell, pas dans params.kv. Ligne ajoutée par comparaison exhaustive des appels getenv du code courant avec l’inventaire 0436b.",,src/cuda_resampling_support_survey_0295.cu,,delta source 0437–0490p / branche surf commit 36abd23
MPCD_CUDA_RESAMPLING_THRUST_CELL_LIST_MATERIALIZER_0460,CUDA resampling résident — pipeline 0437–0484,présent état 36abd23; inventorié 0490p (0460),booléen/env truthy,false/off,Sélectionne le matérialiseur fondé sur une liste de cellules candidates.,"À passer dans l’environnement du shell, pas dans params.kv. Ligne ajoutée par comparaison exhaustive des appels getenv du code courant avec l’inventaire 0436b.",,src/cuda_resampling_pipeline_shadow_0445.cu,,delta source 0437–0490p / branche surf commit 36abd23
MPCD_CUDA_RESAMPLING_TINY_MASS_THRESHOLD_0307,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0307,réel,0.1 ou valeur script,Seuil de diagnostic des particules ou splits de masse très faible.,Produit les compteurs splitFromMassBelow*_0307.,,src/cuda_classic_src_io_resident_0263.cu,,src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
MPCD_CUDA_RESAMPLING_TRANSFER_SHADOW,CUDA resampling — prototype/préservé,debug/comparaison,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Contrôle les prototypes CUDA de resampling; ne fait pas partie du SRC classic full CUDA 0286.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,src/weighted_resampling.cpp,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_RESAMPLING_TRANSFER_SHADOW_CSV,CUDA resampling — prototype/préservé,debug/comparaison,string,false/off sauf activation par scripts validés,Contrôle les prototypes CUDA de resampling; ne fait pas partie du SRC classic full CUDA 0286.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,src/weighted_resampling.cpp,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_RESAMPLING_TRANSFER_SHADOW_MAX_TRANSFERS,CUDA resampling — prototype/préservé,debug/comparaison,entier,false/off sauf activation par scripts validés,Contrôle les prototypes CUDA de resampling; ne fait pas partie du SRC classic full CUDA 0286.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,src/weighted_resampling.cpp,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_RESAMPLING_TRANSFER_SHADOW_STRICT,CUDA resampling — prototype/préservé,debug/comparaison,booléen/env truthy sauf mention contraire,souvent true dans validateurs; dépend du module,Contrôle les prototypes CUDA de resampling; ne fait pas partie du SRC classic full CUDA 0286.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,src/weighted_resampling.cpp,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_RESAMPLING_TRANSFER_SHADOW_UNIQUE_RECEIVER,CUDA resampling — prototype/préservé,debug/comparaison,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Contrôle les prototypes CUDA de resampling; ne fait pas partie du SRC classic full CUDA 0286.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,src/weighted_resampling.cpp,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_RESAMPLING_UPSTREAM_APPLY_0451,CUDA resampling résident — pipeline 0437–0484,présent état 36abd23; inventorié 0490p (0451),booléen/env truthy,false/off,Rend la partie amont CUDA autoritative à la cadence demandée.,"À passer dans l’environnement du shell, pas dans params.kv. Ligne ajoutée par comparaison exhaustive des appels getenv du code courant avec l’inventaire 0436b.",,src/cuda_resampling_pipeline_shadow_0445.cu,,delta source 0437–0490p / branche surf commit 36abd23
MPCD_CUDA_RESAMPLING_UPSTREAM_APPLY_EVERY_0451,CUDA resampling résident — pipeline 0437–0484,présent état 36abd23; inventorié 0490p (0451),entier,1,Règle la cadence d’exécution du module associé.,"À passer dans l’environnement du shell, pas dans params.kv. Ligne ajoutée par comparaison exhaustive des appels getenv du code courant avec l’inventaire 0436b.",,src/cuda_resampling_pipeline_shadow_0445.cu,,delta source 0437–0490p / branche surf commit 36abd23
MPCD_CUDA_RESAMPLING_UPSTREAM_SHADOW_0450,CUDA resampling résident — pipeline 0437–0484,présent état 36abd23; inventorié 0490p (0450),booléen/env truthy,false/off,Active le shadow de la partie amont planification/matérialisation.,"À passer dans l’environnement du shell, pas dans params.kv. Ligne ajoutée par comparaison exhaustive des appels getenv du code courant avec l’inventaire 0436b.",,src/cuda_resampling_pipeline_shadow_0445.cu,,delta source 0437–0490p / branche surf commit 36abd23
MPCD_CUDA_RESAMPLING_UPSTREAM_SHADOW_EVERY_0450,CUDA resampling résident — pipeline 0437–0484,présent état 36abd23; inventorié 0490p (0450),entier,1,Règle la cadence d’exécution du module associé.,"À passer dans l’environnement du shell, pas dans params.kv. Ligne ajoutée par comparaison exhaustive des appels getenv du code courant avec l’inventaire 0436b.",,src/cuda_resampling_pipeline_shadow_0445.cu,,delta source 0437–0490p / branche surf commit 36abd23
MPCD_CUDA_RESAMPLING_UPSTREAM_SHARED_STATE_0474,CUDA resampling résident — pipeline 0437–0484,présent état 36abd23; inventorié 0490p (0474),booléen/env truthy,false/off,Fait consommer l’état partagé directement par la partie amont.,"À passer dans l’environnement du shell, pas dans params.kv. Ligne ajoutée par comparaison exhaustive des appels getenv du code courant avec l’inventaire 0436b.",,src/cuda_resampling_pipeline_shadow_0445.cu,,delta source 0437–0490p / branche surf commit 36abd23
MPCD_CUDA_RESIDENT_PROFILE_0266,Profilage / instrumentation,diagnostic/profilage,booléen/env truthy sauf mention contraire,false/off,Active des sorties de profiling/instrumentation.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,doc/GPU_PATCH_0266_RESIDENT_PERFORMANCE_INSTRUMENTATION.md,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_RESIDENT_PROFILE_0267,Profilage / instrumentation,diagnostic/profilage,booléen/env truthy sauf mention contraire,false/off,Active des sorties de profiling/instrumentation.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_RESIDENT_PROFILE_0268,CUDA SRC classic — inlet/outlet full-face,diagnostic/profilage,booléen/env truthy sauf mention contraire,false/off,Active des sorties de profiling/instrumentation.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_RESIDENT_PROFILE_0269A,CUDA SRC classic — inlet/outlet segmenté,diagnostic/profilage,booléen/env truthy sauf mention contraire,false/off,Active des sorties de profiling/instrumentation.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_RESIDENT_PROFILE_0270,Profilage / instrumentation,diagnostic/profilage,booléen/env truthy sauf mention contraire,false/off,Active des sorties de profiling/instrumentation.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_RESIDENT_PROFILE_0271,Profilage / instrumentation,diagnostic/profilage,booléen/env truthy sauf mention contraire,false/off,Active des sorties de profiling/instrumentation.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_RESIDENT_PROFILE_0272,Profilage / instrumentation,diagnostic/profilage,booléen/env truthy sauf mention contraire,false/off,Active des sorties de profiling/instrumentation.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_RESIDENT_PROFILE_0273,Profilage / instrumentation,diagnostic/profilage,booléen/env truthy sauf mention contraire,false/off,Active des sorties de profiling/instrumentation.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_RESIDENT_PROFILE_0274,Profilage / instrumentation,diagnostic/profilage,booléen/env truthy sauf mention contraire,false/off,Active des sorties de profiling/instrumentation.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_ROLE_FILTER_FULL_ROLE_SCAN_0315D,CUDA état résident / active-prefix — audit et compatibilité,présent état 36abd23; inventorié 0490p (0315d),booléen/env truthy,false/off,Variable runtime interne contrôlant le chemin nommé dans le backend CUDA.,"À passer dans l’environnement du shell, pas dans params.kv. Ligne ajoutée par comparaison exhaustive des appels getenv du code courant avec l’inventaire 0436b.",,src/cuda_particle_state.cu,,delta source 0437–0490p / branche surf commit 36abd23
MPCD_CUDA_SHARED_STATE_DOWNLOAD_ALL_LEGACY_0315D,CUDA état résident / active-prefix — audit et compatibilité,présent état 36abd23; inventorié 0490p (0315d),booléen/env truthy,false/off,"Force une synchronisation ou un miroir hôte complet, principalement pour compatibilité et audit.","À passer dans l’environnement du shell, pas dans params.kv. Ligne ajoutée par comparaison exhaustive des appels getenv du code courant avec l’inventaire 0436b.",,src/cuda_shared_particle_state_0251.cpp,,delta source 0437–0490p / branche surf commit 36abd23
MPCD_CUDA_SRC_COLLISION_ACTIVE_STRICT,CUDA collision SRC,debug/comparaison,booléen/env truthy sauf mention contraire,souvent true dans validateurs; dépend du module,Active le mode strict: erreur si le chemin CUDA demandé ne s’applique pas.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,src/src_collision.cpp,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_SRC_COLLISION_SHADOW,CUDA collision SRC,debug/comparaison,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Active comparaison shadow CUDA/CPU pour validation.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,src/src_collision.cpp,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_SRC_COLLISION_SHADOW_EVERY,CUDA collision SRC,debug/comparaison,entier,false/off sauf activation par scripts validés,Active comparaison shadow CUDA/CPU pour validation.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,src/src_collision.cpp,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_SRC_COLLISION_SHADOW_STRICT,CUDA collision SRC,debug/comparaison,booléen/env truthy sauf mention contraire,souvent true dans validateurs; dépend du module,Active le mode strict: erreur si le chemin CUDA demandé ne s’applique pas.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,src/src_collision.cpp,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_SRC_COLLISION_SHADOW_TOL,CUDA collision SRC,debug/comparaison,double,false/off sauf activation par scripts validés,Active comparaison shadow CUDA/CPU pour validation.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,src/src_collision.cpp,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_SRC_COLLISION_THREADS_PER_BLOCK,CUDA collision SRC,réglage performance/interne,entier,256 le plus souvent,Nombre de threads CUDA par bloc pour le noyau associé.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,src/src_collision.cpp,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_SRC_COLLISION_USE,CUDA collision SRC,interne/runtime,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,doc/GPU_PATCH_0244.md,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_STREAMING_PERIODIC_0245,Streaming CUDA résident,interne/runtime | confirmé 0334a,booléen/env truthy,false/off sauf scripts CUDA,Active le streaming périodique CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo. | 0334a : supporte le cas full-periodic + immersed circle sans téléchargement hôte par step.,,doc/GPU_PATCH_0245.md;doc/README_full_periodic_circle_resident_0334a.md;src/cuda_streaming_periodic_0245.cu,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_cuda_env_flags_added_0331_to_0337_livevis.csv | src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
MPCD_CUDA_STREAMING_PERIODIC_0245_DOWNLOAD_ALL,CUDA SRC classic — périodique,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,doc/GPU_PATCH_0260.md,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_STREAMING_PERIODIC_0245_THREADS,CUDA SRC classic — périodique,réglage performance/interne,entier,256 le plus souvent,Nombre de threads CUDA par bloc pour le noyau associé.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,doc/GPU_PATCH_0245.md,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_STREAMING_PISTON_0247B,CUDA SRC classic — piston/mobile wall,interne/runtime,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,doc/GPU_PATCH_0247B.md,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_STREAMING_PISTON_0247B_DOWNLOAD_ALL,CUDA SRC classic — piston/mobile wall,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_STREAMING_PISTON_0247B_THREADS,CUDA SRC classic — piston/mobile wall,réglage performance/interne,entier,256 le plus souvent,Nombre de threads CUDA par bloc pour le noyau associé.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_STREAMING_WALL_SIMPLE_0246,CUDA SRC classic — wall-simple,interne/runtime,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,doc/GPU_PATCH_0246.md,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_STREAMING_WALL_SIMPLE_0246_DOWNLOAD_ALL,CUDA SRC classic — wall-simple,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,doc/GPU_PATCH_0261.md,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_STREAMING_WALL_SIMPLE_0246_THREADS,CUDA SRC classic — wall-simple,réglage performance/interne,entier,256 le plus souvent,Nombre de threads CUDA par bloc pour le noyau associé.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,,,,src_mpcd_cuda_env_flags_0287.csv | src_mpcd_cuda_env_flags_0292.csv | src_mpcd_cuda_env_flags_0303_resampling.csv | src_mpcd_cuda_env_flags_0314_resampling.csv
MPCD_CUDA_STREAMING_WALL_SIMPLE_DOWNLOAD_ALL_LEGACY_0315K,CUDA état résident / active-prefix — audit et compatibilité,présent état 36abd23; inventorié 0490p (0315k),booléen/env truthy,false/off,"Force une synchronisation ou un miroir hôte complet, principalement pour compatibilité et audit.","À passer dans l’environnement du shell, pas dans params.kv. Ligne ajoutée par comparaison exhaustive des appels getenv du code courant avec l’inventaire 0436b.",,src/cuda_streaming_wall_simple_0246.cu,,delta source 0437–0490p / branche surf commit 36abd23
