canonical_name,category,status,expected_type,default_value,constraints,effect_role,remarks,kv_keys,cpp_fields,aliases,runner_variables,source_paths,milestones,source_inventory
phaseInterfaceBSelector,Q6-G-F — sélection de phases,0493x9g actif; x14k autorise B=type:gaz lorsque phaseInterfaceKineticBilateralRelocation=true | alias accepté | ajout 0493x9g; wall opérationnel géométriquement x9h,string canonique,family:gas,"family:liquid | family:gas | family:dispersed | family:unspecified | type:<uint32> | vacuum | wall; A/B ne doivent pas se recouvrir; avec réflexion cinétique et bilateral=false B reste vacuum; avec bilateral=true B doit être type:<id>, espèce gaz unique non projetée | wall; A ne peut pas être vacuum/wall; A/B ne doivent pas se recouvrir","Sélectionne le côté extérieur B de l’interface; peut fournir la pression gaz x6g, être vacuum, ou demander le provider géométrique wall.","Défaut struct family:gas. La garde historique x9t B=vacuum reste vraie lorsque la réflexion cinétique est active et phaseInterfaceKineticBilateralRelocation=false. x14k lève explicitement cette restriction pour une espèce gaz B unique non projetée, avec r=1 et sélecteurs type:<id>. | Audit x14ai-fix1 04/09/2026: sémantique params inchangée; aucune nouvelle clé params.kv introduite par x14y--x14ai-fix1. | Alias de phaseInterfaceBSelector. 0493x9g/x9h: B=vacuum est opérationnel sans particules gaz. B=wall est géométrie seule et ne doit pas être utilisé comme paire capillaire de mouillage; le mur est alors un troisième objet.",phaseInterfaceBSelector;capillaryPhaseBSelector,phaseInterfaceBSelector,capillaryPhaseBSelector,,include/simulation_params.h;scripts/run_0493x12d_jfm524_measurement_case.sh;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp,x10q;x11c;x14ai;x14ai-fix1;x14k;x14y;x6g;x8k;x8t;x9d;x9g;x9h;x9r;x9t,cycle_0493x8k_x8t + 0493x9d_x9r + 0493x10q_x11c_surface_tension_20260822 + snap_260826_code_audit_20260826 | extension_x14_snapshot_030926 | audit_snap_040926_x14ai_fix1_20260904 | cycle_0493x8k_x8t + 0493x9d_x9r_surface_tension_20260819
phaseInterfaceContactAngleDegrees,Q6-G-F — mouillage,"0493x9i/x9m actif; x12 splash/JFM=90°, calibrateurs capillaires=-1 | alias accepté | ajout 0493x9i; fermeture statique x9m qualifiée",double fini,-1.0,"-1 désactive; sinon [0,180] degrés; x9m qualifié seulement pour 0<theta<180","Prescrit l’angle de contact mesuré à travers A, avec nAB·nWall=-cos(thetaA).",Défaut struct -1 (désactivé). Les splash/JFM x12 utilisent 90° avec x9m off-support; x12cal et x12yl désactivent le mouillage pour les calibrations capillaires. | Alias de phaseInterfaceContactAngleDegrees. x9i introduit le contrat. x9m est la fermeture statique préférée actuelle via ancre hors support; dynamique de ligne triple non encore quantitativement qualifiée. La garde actuelle exige surfaceTensionSigma>0 lorsqu’un angle est actif.,phaseInterfaceContactAngleDegrees;capillaryContactAngleDegrees;contactAngleDegrees,phaseInterfaceContactAngleDegrees,capillaryContactAngleDegrees;contactAngleDegrees,,include/simulation_params.h;scripts/run_0493x12cal_capillary_calibrator.sh;scripts/run_0493x12d_jfm524_measurement_case.sh;scripts/run_0493x12yl_young_laplace_calibrator.sh;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp,x10q;x11c;x12cal;x12yl;x8k;x8t;x9d;x9i;x9j;x9k;x9l;x9m;x9r,cycle_0493x8k_x8t + 0493x9d_x9r + 0493x10q_x11c_surface_tension_20260822 + snap_260826_code_audit_20260826 | cycle_0493x8k_x8t + 0493x9d_x9r_surface_tension_20260819
phaseInterfaceEvaporationTargetType,Q6-G-F — interface cinétique / évaporation,0493x9t actif; production x12=-1; transfert r<1 non qualifié thermodynamiquement,entier / identifiant de type particulaire,-1 (SimulationParams et runners x12),">=-1; si >=0 avec réflexion active: type enregistré, non projeté et distinct de A; incompatible avec phaseInterfaceKineticBilateralRelocation=true",Type cible optionnel associé aux particules transmises par la loi cinétique lorsque r<1.,"Avec r=1 dans la chaîne x12, ce paramètre n'entraîne aucun changement de phase. Le chemin >=0 appartient au mécanisme historique r<1 et ne constitue pas une loi d'évaporation/condensation thermodynamiquement qualifiée. | Audit commit 7655b81: alias parser présent et couvert; aucune clé canonique supplémentaire requise. | 0493x14k: le couplage bilatéral liquide/gaz courant interdit phaseInterfaceEvaporationTargetType>=0. | Audit commit 7655b81: aliases parser kineticReflectionFraction/evaporationTargetType présents et couverts; aucune clé canonique supplémentaire requise.",phaseInterfaceEvaporationTargetType,phaseInterfaceEvaporationTargetType,EVAPORATION_TARGET_TYPE (alias runner);evaporationTargetType (alias parser),EVAPORATION_TARGET_TYPE,include/simulation_params.h;scripts/run_0493x12d_jfm524_measurement_case.sh;src/params_io_base.cpp,x10q;x11c;x14k;x8k;x8t;x9d;x9r;x9t;x9u;x9v;x9w;x9x;x9y;x9z,cycle_0493x8k_x8t + 0493x9d_x9r + 0493x10q_x11c_surface_tension_20260822 + snap_260826_code_audit_20260826 | audit_commit_7655b81_20260831 | extension_x14_snapshot_030926
phaseInterfaceKineticBilateralRelocation,Q6-G-F — interface cinétique liquide/gaz x14,ajout 0493x14k; actif dans la chaîne liquide/gaz x14 | ajout 0493x14k,booléen,false,si true: r=1; phaseInterfaceEvaporationTargetType<0; A et B explicites type:<id>; A=espèce liquide projetée unique; B=espèce gaz unique non projetée | mêmes gardes que la clé params,Étend la relocalisation positionnelle x10u à une paire liquide/gaz explicite avec sens de phase inversé pour B. | Champ SimulationParams du gate bilatéral x14k.,"Ne modifie à lui seul ni vitesse, ni masse, ni type. false conserve exactement la garde liquide/vide historique. | Audit x14ai-fix1 04/09/2026: sémantique params inchangée; aucune nouvelle clé params.kv introduite par x14y--x14ai-fix1. | Défaut false pour préserver le chemin liquide/vide.",phaseInterfaceKineticBilateralRelocation,phaseInterfaceKineticBilateralRelocation,,MPCD_X14L_GAS_SPECULAR_REFLECTION;PHASE_INTERFACE_KINETIC_BILATERAL_RELOCATION,include/simulation_params.h;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp,x10u;x14ai;x14ai-fix1;x14k;x14y,extension_x14_snapshot_030926 | audit_snap_040926_x14ai_fix1_20260904
phaseInterfaceKineticReflectionFraction,Q6-G-F — interface cinétique / évaporation,0493x9t actif; production x12 r=1; x14k bilatéral liquide/gaz exige r=1,double fini,0.0 (SimulationParams); runners x12 production fixent 1.0,"[0,1]; si >0: speciesQ6Enable, speciesQ6Mode=free_surface_masked, q6ForceProjectionMode=prestream_single_fused, exactement une espèce A projetée; B=vacuum sauf si phaseInterfaceKineticBilateralRelocation=true; en bilatéral r doit valoir 1",Probabilité de réfléchir une tentative de franchissement sortante relative g=(v-uGamma)·n>0; 1-r ouvre la voie de transmission/évaporation.,"Correction importante: le défaut du struct est 0.0, pas 1.0. x10o et la chaîne CIC/Q2/x10u/x10v/x12a ne deviennent actifs que dans le chemin cinétique Q6 free_surface_masked; x10o exige en plus r>=1. La production x12 verrouille r=1. | Audit commit 7655b81: alias parser présent et couvert; aucune clé canonique supplémentaire requise. | 0493x14k: B explicite gaz est autorisé uniquement via le gate bilatéral; ce chemin impose r=1 et interdit une cible d’évaporation active. | Audit x14ai-fix1 04/09/2026: sémantique params inchangée; aucune nouvelle clé params.kv introduite par x14y--x14ai-fix1. | Audit commit 7655b81: aliases parser kineticReflectionFraction/evaporationTargetType présents et couverts; aucune clé canonique supplémentaire requise.",phaseInterfaceKineticReflectionFraction,phaseInterfaceKineticReflectionFraction,KINETIC_REFLECTION_FRACTION (alias runner);kineticReflectionFraction (alias parser),KINETIC_REFLECTION_FRACTION,include/simulation_params.h;scripts/run_0493x12d_jfm524_measurement_case.sh;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp,x10o;x10q;x10u;x10v;x11c;x12a;x14ai;x14ai-fix1;x14k;x14y;x8k;x8t;x9d;x9r;x9t;x9u;x9v;x9w;x9x;x9y;x9z,cycle_0493x8k_x8t + 0493x9d_x9r + 0493x10q_x11c_surface_tension_20260822 + snap_260826_code_audit_20260826 | audit_commit_7655b81_20260831 | extension_x14_snapshot_030926 | audit_snap_040926_x14ai_fix1_20260904
projectionAllowUnmaskedImmersedSolid,Projection Q6 / solide immergé,existant catalogue 0292 | canonique,booléen,false,booléen: true/1/yes/on ou false/0/no/off,Autorise explicitement Q6 avec solide immergé non masqué.,À réserver aux tests/debug.,projectionAllowUnmaskedImmersedSolid,projectionAllowUnmaskedImmersedSolid,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
projectionBackend,Projection Q6 — backend,existant catalogue 0292 | alias accepté | canonique,enum string,cpu,cpu; auto; cuda,Sélection expérimentale du backend de projection Q6. | Sélectionne le backend de projection Q6; hors SRC classic full CUDA.,"Concerne seulement projectionEnable=true. Dans le jalon 0286, Q6 CUDA reste un chantier séparé: les cas SRC classic full CUDA doivent garder projectionEnable=false.",projectionBackend;gpuProjectionBackend;q6ProjectionBackend,projectionBackend,gpuProjectionBackend;q6ProjectionBackend,MPCD_CUDA_Q6_RESIDENT_0400,include/simulation_params.h;src/cuda_q6_backend.cu;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
projectionEnable,Projection Q6 / elliptique,existant catalogue 0292 | canonique,booléen,false,booléen: true/1/yes/on ou false/0/no/off,Active la projection incompressible Q6.,,projectionEnable,projectionEnable,,MPCD_CUDA_Q6_RESIDENT_0400;SPECIES_Q6_ENABLE,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
projectionImmersedSolidCloseCutFaces,Projection Q6 / solide immergé,existant catalogue 0292 | canonique,booléen,true,booléen: true/1/yes/on ou false/0/no/off,Ferme les faces coupées par le solide immergé dans la projection.,,projectionImmersedSolidCloseCutFaces,projectionImmersedSolidCloseCutFaces,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
projectionImmersedSolidFluidFractionThreshold,Projection Q6 / solide immergé,existant catalogue 0292 | canonique,double,0.5,"[0,1]",Seuil de fraction fluide pour classer/masquer les cellules solides.,Si projectionEnable=true.,projectionImmersedSolidFluidFractionThreshold,projectionImmersedSolidFluidFractionThreshold,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
projectionImmersedSolidMaskEnable,Projection Q6 / solide immergé,existant catalogue 0292 | canonique,booléen,false,booléen: true/1/yes/on ou false/0/no/off,Active le masque solide immergé dans la projection.,"Q6 + immersedSolidEnable exige true, sauf debug explicite.",projectionImmersedSolidMaskEnable,projectionImmersedSolidMaskEnable,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
projectionMaxIterations,Projection Q6 / elliptique,existant catalogue 0292 | canonique,entier,300,>=0,Nombre maximal d’itérations CG.,Si projectionEnable=true.,projectionMaxIterations,projectionMaxIterations,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
projectionMomentumCorrectionEnable,Projection Q6 / elliptique,existant catalogue 0292 | canonique,booléen,true,booléen: true/1/yes/on ou false/0/no/off,Active la correction globale de quantité de mouvement après projection.,,projectionMomentumCorrectionEnable,projectionMomentumCorrectionEnable,,PROJECTION_MOMENTUM_CORRECTION_ENABLE,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
projectionOperator,Projection Q6 / elliptique,existant catalogue 0292 | canonique,enum string,periodic_fv_cg,periodic_fv_cg; channel_fv_cg; auto_fv_cg; elliptic_fv_cg,Opérateur elliptique/div-grad utilisé par la projection.,Si projectionEnable=true.,projectionOperator,projectionOperator,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
projectionTolerance,Projection Q6 / elliptique,existant catalogue 0292 | canonique,double,1.0e-10,>0,Tolérance relative/numérique du solveur de projection.,Défaut canonique SimulationParams=1.0e-10. La campagne finale x7q/x7i TG/Poiseuille/bend/IO et le dam-break de non-régression utilisent 1.0e-5; le CG x7j respecte ce même critère sans réduction host à chaque itération.,projectionTolerance,projectionTolerance,,PROJECTION_TOLERANCE,doc/README_0493X6G_PHASE_GAS_PRESSURE.md;include/simulation_params.h;scripts/run_0493x5b_liquid_gas_free_surface_dam_break.sh;src/params_io_base.cpp,x7i;x7j;x7q,catalogue 0292 | validation Q6-g-f 0493x7q
q6DensityRelaxationBeta,Projection Q6-g-f / restauration de densité,ajout 0493x7c; entrée legacy conservée; production x7q utilise tau_rho,double,0.0,"fini dans [0,1]; si >0, q6DensityRelaxationTime doit être 0",Coefficient de relaxation de densité par pas; impose div(u_proj)=beta*(rawFill-1)/dt dans le bulk liquide.,Entrée par pas conservée pour ablation/compatibilité. La chaîne signed1/x7q utilise q6DensityRelaxationTime=0.25 et beta=0.,q6DensityRelaxationBeta,q6DensityRelaxationBeta,densityRelaxationBeta,Q6_DENSITY_RELAXATION_BETA,doc/README_0493X7C_Q6_DENSITY_RELAXATION_RHS.md;include/simulation_params.h;scripts/run_0493x5a_partial_liquid_free_surface.sh;scripts/run_0493x5b_liquid_gas_free_surface_dam_break.sh;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp,x7c;x7q,mise à jour 0493x7c–0493x7q / Q6-g-f
q6DensityRelaxationCompressionGateEnable,Projection Q6-g-f / restauration de densité signée,ajout 0493x7d-v2; qualifié signed1/x7q,booléen,false,si true: q6DensityRelaxationCompressionThresholdFill>0 et restauration de densité active,Active l’admission cohérente de la branche positive: cellule et au moins un voisin de face au-dessus du seuil.,Le gate ne soustrait pas le seuil après admission: le défaut complet rawFill-1 alimente la cible. Profil final x7i: true.,q6DensityRelaxationCompressionGateEnable,q6DensityRelaxationCompressionGateEnable,densityRelaxationCompressionGateEnable,,include/simulation_params.h;scripts/src_mpcd_run_common_0434.sh;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp,x7d-v2;x7i;x7q,mise à jour 0493x7d-v2–0493x7q / Q6-g-f
q6DensityRelaxationCompressionThresholdFill,Projection Q6-g-f / restauration de densité signée,ajout 0493x7d-v2; qualifié signed1/x7q,double,0.0,fini >=0; doit être >0 si compression gate actif,Seuil du défaut positif de remplissage utilisé par le gate cohérent de compression.,"Les runners expriment le seuil en particules et écrivent thresholdParticles/gamma. Profil final: 3/gamma, soit 0.15 à gamma=20 et 0.30 à gamma=10.",q6DensityRelaxationCompressionThresholdFill,q6DensityRelaxationCompressionThresholdFill,densityRelaxationCompressionThresholdFill,,include/simulation_params.h;scripts/src_mpcd_run_common_0434.sh;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp,x7d-v2;x7q,mise à jour 0493x7d-v2–0493x7q / Q6-g-f
q6DensityRelaxationTime,Projection Q6-g-f / restauration de densité,ajout 0493x7d; entrée physique recommandée; qualifiée signed1/x7q,double,0.0,"fini >=0; si >0, q6DensityRelaxationBeta doit être 0 et betaEffectif=dt/tau doit rester dans [0,1]",Constante de temps physique tau_rho de restauration de densité; impose div(u_proj)=(rawFill-1)/tau_rho dans le bulk liquide.,"Valeur de production qualifiée tau_rho=0.25. Avec le gate signé, la cible n’est appliquée qu’aux structures de défaut cohérentes; 0 désactive la restauration. Requiert CUDA Q6 actif; incompatible avec q6DensityRelaxationBeta>0.",q6DensityRelaxationTime,q6DensityRelaxationTime,densityRelaxationTau;densityRelaxationTime,Q6_DENSITY_RELAXATION_TIME;Q6_GF_DENSITY_RELAXATION_TIME,include/simulation_params.h;scripts/run_0493x7i_q6_g_f_physical_qualification.sh;scripts/src_mpcd_run_common_0434.sh;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp,x7c;x7d;x7q,mise à jour 0493x7c–0493x7q / Q6-g-f
q6DensityRelaxationTractionGain,Projection Q6-g-f / restauration de densité signée,ajout 0493x7d-v2-signed1; qualifié x7q,double,0.0,"fini >=0; si >0: tractionThresholdFill>0, compression gate actif et restauration de densité active",Multiplie la cible négative admise par le gate de traction; 0 est un no-op exact de cette branche.,Profil signed1/x7q qualifié: 1.0.,q6DensityRelaxationTractionGain,q6DensityRelaxationTractionGain,densityRelaxationTractionGain,Q6_GF_DENSITY_TRACTION_GAIN,include/simulation_params.h;scripts/src_mpcd_run_common_0434.sh;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp,x7d-v2;x7d-v2-signed1;x7q,mise à jour 0493x7d-v2–0493x7q / Q6-g-f
q6DensityRelaxationTractionThresholdFill,Projection Q6-g-f / restauration de densité signée,ajout 0493x7d-v2-signed1; qualifié x7q,double,0.0,fini >=0; doit être >0 si q6DensityRelaxationTractionGain>0,Seuil en valeur absolue du défaut négatif pour la branche cohérente de traction/déplétion.,"Profil final: 6/gamma, soit 0.30 à gamma=20 et 0.60 à gamma=10.",q6DensityRelaxationTractionThresholdFill,q6DensityRelaxationTractionThresholdFill,densityRelaxationTractionThresholdFill,,include/simulation_params.h;scripts/src_mpcd_run_common_0434.sh;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp,x7d-v2;x7d-v2-signed1;x7q,mise à jour 0493x7d-v2–0493x7q / Q6-g-f
q6ForceProjectionMode,Projection Q6 / séquencement du forçage,ajout 0493x3; étendu x4; chemin Q6-g-f qualifié jusqu’à 0493x7q,enum string,legacy,legacy; prestream; prestream_single; prestream_single_fused.,Choisit l’ordre force/Q6/streaming; prestream_single_fused projette la vitesse tentative incluant la force avant transport avec un seul solveur Q6 et fusion CUDA.,"legacy conserve l’ordre historique. prestream_single_fused est le chemin Q6-g-f qualifié sur TG, Poiseuille, bend/IO et dam-break; il inclut les sources déterministes (body/TG et, x7g, Darcy moyen) dans la vitesse tentative avant projection.",q6ForceProjectionMode,q6ForceProjectionMode,,KINETIC_REFLECTION_FRACTION;Q6_FORCE_PROJECTION_MODE,doc/README_0493X3_Q6_FORCE_PRESTREAM_TEST.md;doc/README_0493X4A_Q6_FORCE_SINGLE_SOLVE.md;doc/README_0493X4B_Q6_FORCE_CUDA_FUSION.md;doc/README_0493X5A_PARTIAL_LIQUID_FREE_SURFACE.md;doc/README_0493X7D_DENSITY_RELAXATION_TIME_GRID_REFINEMENT.md;doc/README_0493X7E_X6G_X7D_COMBINATION.md;include/simulation_params.h;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp;src/src_mpcd_base.cpp,x3;x7g;x7q,mise à jour 0493x3–0493x7q / Q6-g-f
q6PressureOutletDeflationEnable,Q6-G-F — pressure outlet conditioning,ajout 0414d; actif par défaut,booléen,true,true/false,"Active/désactive uniquement la déflation exacte x8s des modes lents des pressure outlets compatibles, sans changer x8r/x8t.",Switch d’ablation runtime; géométrie partielle non séparable désactive automatiquement la déflation spécialisée.,q6PressureOutletDeflationEnable,,pressureOutletDeflationEnable,Q6_PRESSURE_OUTLET_DEFLATION_ENABLE,,x8r;x8s;x8t,curated_0414
q6ProjectionStrength,Projection Q6 / elliptique,existant catalogue 0292 | alias accepté | canonique,double,1.0,"[0,1]",Sous-relaxation de la correction fluide-fluide Q6.,Si projectionEnable=true.,q6ProjectionStrength;projectionStrength,q6ProjectionStrength,projectionStrength,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
randomRotationSign,Temps et collision SRC,existant catalogue 0292 | canonique,booléen,true,booléen: true/1/yes/on ou false/0/no/off,Active le signe aléatoire de la rotation collisionnelle.,,randomRotationSign,randomRotationSign,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
resamplingActiveFluidFractionThreshold,Resampling pondéré — masque wet,existant catalogue 0292 | canonique,double,0.5,"[0,1]",Seuil de fraction fluide active pour considérer une cellule éligible.,,resamplingActiveFluidFractionThreshold,resamplingActiveFluidFractionThreshold,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
resamplingEnable,Resampling pondéré — switches,existant catalogue 0292 | canonique | alias accepté,booléen,false,booléen: true/1/yes/on ou false/0/no/off,Switch maître de toutes les opérations de rôle/changement de population.,,resamplingEnable;weightedResamplingEnable,resamplingEnable,weightedResamplingEnable,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
resamplingExtractionEnable,Resampling pondéré — switches,existant catalogue 0292 | canonique,booléen,false,booléen: true/1/yes/on ou false/0/no/off,Active l’extraction Fluid -> Inactive depuis cellules riches.,"Si insertion=true, extraction doit être true.",resamplingExtractionEnable,resamplingExtractionEnable,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
resamplingInsertionEnable,Resampling pondéré — switches,existant catalogue 0292 | canonique,booléen,false,booléen: true/1/yes/on ou false/0/no/off,Active l’insertion Inactive -> Fluid vers cellules pauvres.,Exige resamplingExtractionEnable=true.,resamplingInsertionEnable,resamplingInsertionEnable,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
resamplingLatentActivationEnable,Resampling pondéré — latent,existant catalogue 0292 | canonique | alias accepté,booléen,false,booléen: true/1/yes/on ou false/0/no/off,Active la conversion Latent -> Fluid pour remplir les cellules pauvres/vides.,,resamplingLatentActivationEnable;resamplingLatentToFluidEnable,resamplingLatentActivationEnable,resamplingLatentToFluidEnable,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
resamplingLatentActivationMaxPerCell,Resampling pondéré — latent,existant catalogue 0292 | canonique,entier,1,>0 si activation latente active,Nombre maximal d’activations latentes par cellule.,,resamplingLatentActivationMaxPerCell,resamplingLatentActivationMaxPerCell,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
resamplingLatentActivationParticleMass,Resampling pondéré — latent,existant catalogue 0292 | canonique | alias accepté,double,0.0,>=0; 0 => targetCellMass/maxPerCell,Masse attribuée aux particules activées depuis latent.,,resamplingLatentActivationParticleMass;resamplingLatentParticleMass,resamplingLatentActivationParticleMass,resamplingLatentParticleMass,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
resamplingMassGuardEnable,Resampling pondéré — masse,existant catalogue 0292 | canonique | alias accepté,booléen,false,booléen: true/1/yes/on ou false/0/no/off,Active le garde de bornes de masse particulaire.,Exige resamplingRemapEnable=true.,resamplingMassGuardEnable;resamplingMassSafetyEnable,resamplingMassGuardEnable,resamplingMassSafetyEnable,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
resamplingMassRenormalizationPeriod,Resampling pondéré — masse,existant catalogue 0292 | alias accepté | canonique,entier,1,>=0; 0 désactive remap/guard de masse,Période K de renormalisation/remap de masse.,,resamplingMassRenormalizationPeriod;resamplingMassRemapPeriod;resamplingMassRenormalisationPeriod;resamplingRemapPeriod,resamplingMassRenormalizationPeriod,resamplingMassRemapPeriod;resamplingMassRenormalisationPeriod;resamplingRemapPeriod,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
resamplingParticleMassMax,Resampling pondéré — masse,existant catalogue 0292 | alias accepté | canonique,double,4.0,> resamplingParticleMassMin,Borne supérieure de masse particulaire.,,resamplingParticleMassMax;resamplingMassMax,resamplingParticleMassMax,resamplingMassMax,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
resamplingParticleMassMin,Resampling pondéré — masse,existant catalogue 0292 | alias accepté | canonique,double,0.25,>=0,Borne inférieure de masse particulaire.,,resamplingParticleMassMin;resamplingMassMin,resamplingParticleMassMin,resamplingMassMin,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
resamplingPoorCellMassFraction,Resampling pondéré — seuils pauvre/riche,existant catalogue 0292 | canonique | alias accepté,double,0.5,>=0,Fraction de masse cible sous laquelle une cellule est pauvre.,,resamplingPoorCellMassFraction;resamplingPoorMassFraction,resamplingPoorCellMassFraction,resamplingPoorMassFraction,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
resamplingPopulationMaxExtractionsPerCell,Resampling pondéré — population,existant catalogue 0292 | alias accepté | canonique,entier,64,>=0,Limite d’extractions par cellule et par step.,Si resamplingEnable=true.,resamplingPopulationMaxExtractionsPerCell;resamplingNMaxExtractionsPerCell,resamplingPopulationMaxExtractionsPerCell,resamplingNMaxExtractionsPerCell,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
resamplingPopulationMaxExtractionsPerStep,Resampling pondéré — population,existant catalogue 0292 | alias accepté | canonique,entier,200000,>=0,Limite globale d’extractions par step.,Si resamplingEnable=true.,resamplingPopulationMaxExtractionsPerStep;resamplingNMaxExtractionsPerStep,resamplingPopulationMaxExtractionsPerStep,resamplingNMaxExtractionsPerStep,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
resamplingPopulationMaxSplitsPerCell,Resampling pondéré — population,existant catalogue 0292 | alias accepté | canonique,entier,16,>=0,Limite de splits par cellule et par step.,Si resamplingEnable=true.,resamplingPopulationMaxSplitsPerCell;resamplingNMaxSplitsPerCell,resamplingPopulationMaxSplitsPerCell,resamplingNMaxSplitsPerCell,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
resamplingPopulationMaxSplitsPerStep,Resampling pondéré — population,existant catalogue 0292 | alias accepté | canonique,entier,200000,>=0,Limite globale de splits par step.,Si resamplingEnable=true.,resamplingPopulationMaxSplitsPerStep;resamplingNMaxSplitsPerStep,resamplingPopulationMaxSplitsPerStep,resamplingNMaxSplitsPerStep,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
resamplingPopulationNMax,Resampling pondéré — population,existant catalogue 0292 | alias accepté | canonique,entier,0,>=0; 0 avec les deux autres bornes => inférence,Borne haute de population par cellule.,"Si explicite, NMin<NTarget<NMax.",resamplingPopulationNMax;resamplingNMax,resamplingPopulationNMax,resamplingNMax,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
